047m,00H,0XH,LUCYGR,LUCYGO,G,J,K,L,R,310,311,1,2,3,4,5,6,7,8,9,10,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,37,38,39,40,42,43,44,45,46,47,48,50,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,70,71,73,75,77,78,79,80,84,88,89,90,92,93,94,95,96,97,98,99,103,104,105,106,107,108,109,110,111,112,113,114,115,117,118,119,120,123,124,125,126,127,128,129,130,131,132,133,134,139,150,201,204,205,206
20,20,20,25,30,24,30,17,16,16,--,--,45,--,15,25,20,12,24,30,18,10,20,12,15,24,60,14,43,15,10,20,10,30,30,15,30,35,17,45,25,20,9,45,25,20,15,16,20,21,22,10,12,10,12,30,--,25,15,18,12,24,12,15,12,20,--,20,--,16,30,56,20,20,20,20,59,--,12,--,25,30,30,60,>60,60,60,60,35,60,35,35,60,30,60,60,60,15,20,30,60,30,15,30,90,30,60,60,60,30,55,20,60,>60,90,57,60,60,65,--,--,>60,--,60,>60,--,--
20,20,20,30,30,23,30,17,16,14,--,--,60,--,15,24,22,12,25,30,18,10,20,12,15,24,59,15,45,15,10,20,10,30,30,15,30,34,17,45,25,20,10,45,25,20,20,15,19,21,18,10,15,10,12,30,--,25,17,18,15,24,12,15,12,20,--,20,--,16,30,56,20,20,20,20,61,--,12,--,25,29,29,60,--,60,60,60,35,60,35,35,60,30,60,60,60,15,20,30,60,30,15,30,0,0,60,60,60,30,30,30,60,--,80,60,55,60,70,--,--,--,75,60,--,--,--
20,20,20,30,30,24,29,16,16,13,--,--,68,--,14,25,22,12,24,30,18,10,20,12,15,22,57,15,47,15,10,19,10,29,30,15,28,35,17,45,25,20,10,45,25,20,20,15,20,21,22,10,15,10,12,30,--,25,17,18,15,24,12,15,12,20,--,21,--,16,30,55,20,20,20,20,60,--,12,--,25,30,29,60,90,60,60,60,35,60,35,35,60,30,60,60,60,15,20,30,60,30,15,30,60,30,60,60,60,30,30,30,60,90,>60,63,60,60,70,--,--,55,60,60,60,--,--
20,16,19,30,30,16,25,12,16,11,--,--,40,--,14,18,20,12,20,24,18,10,20,12,15,17,70,15,40,15,10,18,9,30,30,12,30,32,14,45,22,18,10,45,25,18,20,15,20,20,20,10,15,10,12,24,--,20,17,18,15,21,10,15,12,20,--,20,--,16,24,30,18,60,20,15,62,--,12,--,25,29,30,60,>60,60,60,60,35,60,35,35,60,15,40,60,60,15,20,30,30,30,15,30,>60,30,0,60,60,30,30,30,60,>60,--,57,50,60,60,--,--,55,60,64,60,--,--
20,16,18,30,30,10,20,8,10,10,--,--,36,--,12,14,11,12,15,16,18,10,20,8,15,14,60,11,34,15,10,17,7,25,17,6,29,4,10,40,22,17,10,45,25,20,20,15,16,16,17,10,13,8,10,30,--,30,15,13,11,17,10,15,10,29,--,19,--,16,15,31,12,20,20,15,58,--,12,--,21,19,29,60,--,35,60,60,35,60,35,35,30,10,30,45,60,15,20,30,30,30,10,30,--,30,60,60,60,30,60,30,62,--,65,60,60,35,65,--,60,60,40,52,60,--,--
21,12,12,21,25,19,18,7,5,9,--,--,44,--,8,12,12,8,15,13,18,6,20,6,14,12,24,8,30,10,8,17,8,15,29,6,29,26,6,30,15,10,7,45,16,18,15,15,16,15,17,8,10,6,8,28,62,30,12,12,6,12,10,10,8,20,--,15,--,6,12,31,10,30,19,10,59,--,12,--,11,15,24,60,80,35,>60,60,35,60,25,35,23,15,30,30,25,11,20,30,30,57,15,30,72,30,60,60,>60,30,30,30,65,60,75,>60,60,30,70,--,--,64,--,36,69,--,--
20,12,12,10,12,12,22,10,4,9,--,--,30,27,11,12,12,8,15,15,14,5,16,6,10,13,18,8,25,8,8,17,7,15,25,7,30,25,12,30,18,10,6,45,12,15,15,10,16,16,18,8,8,6,7,31,40,30,13,12,6,15,6,9,9,17,--,15,--,12,12,31,10,30,14,15,60,--,10,--,24,13,20,60,65,35,--,65,35,60,35,35,7,15,30,30,20,9,15,20,30,80,15,30,50,28,70,60,--,30,30,30,30,60,>60,--,60,30,>60,--,--,65,--,36,47,--,--
--,17,16,4,15,19,25,12,4,11,10,--,62,35,12,23,14,8,15,15,15,6,15,7,10,27,23,9,25,6,10,18,8,20,25,9,45,27,12,35,20,21,6,45,25,16,15,18,20,20,15,7,12,6,10,32,--,30,13,15,6,10,3,10,8,15,--,19,--,12,10,31,10,25,16,15,62,--,11,--,24,14,21,70,75,40,90,>60,35,70,35,35,10,15,30,30,20,10,15,15,15,65,15,40,60,33,58,75,43,>60,35,30,30,55,--,60,70,40,--,--,--,71,--,22,>60,--,--
--,31,30,27,18,34,30,15,10,12,--,--,--,26,13,33,17,12,33,18,30,10,16,15,10,33,30,17,30,6,10,28,9,31,19,10,48,36,17,46,30,31,10,--,25,32,30,20,23,20,5,7,15,9,15,30,>60,54,13,19,6,21,6,14,10,21,--,18,--,15,14,31,18,20,20,22,--,--,20,--,54,15,36,65,>60,35,>60,--,30,65,70,65,10,30,30,27,20,12,20,15,20,65,10,60,53,30,--,75,85,--,60,60,30,50,65,60,80,--,100,--,--,77,--,--,--,--,--
--,39,34,--,--,42,31,24,15,16,--,--,--,--,16,33,27,15,55,--,36,11,22,20,12,35,67,16,--,16,14,37,19,46,26,15,61,36,20,61,59,30,15,--,29,37,30,28,37,26,30,8,20,13,20,37,--,80,26,24,11,31,15,27,12,24,--,20,--,8,22,56,19,--,26,30,--,--,30,--,56,41,43,>60,--,75,--,45,75,75,73,75,30,60,60,--,60,13,30,60,60,>60,10,60,78,43,--,>60,55,60,60,60,--,--,--,65,>60,--,>60,--,--,>60,--,--,95,--,--
